Date,Open,High,Low,Close,Volume
06.08.2024 18:10:00,289,289,"279,5","279,5",34068451
07.08.2024 18:10:00,"282,5",300,"282,5",298,41782573
08.08.2024 18:10:00,298,"305,75","297,5",302,32386073
09.08.2024 18:10:00,"306,5",308,"300,5","301,75",25010646
12.08.2024 18:10:00,305,"306,75",299,"300,25",27721724
13.08.2024 18:10:00,"300,25","300,75","292,25","297,75",26412277
14.08.2024 18:10:00,"299,25","301,5","291,5","291,75",18953889
15.08.2024 18:10:00,"291,75","291,75","282,75","288,5",34055805
16.08.2024 18:10:00,296,"299,25","292,5","293,5",38799466
19.08.2024 18:10:00,"295,5",298,292,297,26825619
20.08.2024 18:10:00,"296,5","303,25","295,75","299,75",34477472
21.08.2024 18:10:00,"299,75",303,"296,25","297,75",23463737
22.08.2024 18:10:00,300,"301,5","294,5","294,5",24952855
23.08.2024 18:10:00,"294,75",299,291,295,31205050
26.08.2024 18:10:00,"296,5","297,25","288,75","288,75",22083752
27.08.2024 18:10:00,"288,75","298,25","287,75","297,75",25541295
28.08.2024 18:10:00,"297,75","304,5","297,5","302,25",29852124
29.08.2024 18:10:00,302,303,"298,25","300,5",25703034
02.09.2024 18:10:00,302,"309,75","301,75","308,5",34729004
03.09.2024 18:10:00,308,"309,25","301,75","302,75",23411840
04.09.2024 18:10:00,"300,25","301,5","298,25",301,19799342
05.09.2024 18:10:00,"302,25","303,25","295,75","296,75",23092345
06.09.2024 18:10:00,297,"298,75",294,"294,25",20468062
09.09.2024 18:10:00,"293,25","294,5",289,289,24892932
10.09.2024 18:10:00,290,291,"283,75",284,28335939
11.09.2024 18:10:00,"284,25","286,5",280,280,21805515
12.09.2024 18:10:00,"284,25","289,25","281,5","286,25",39046318
13.09.2024 18:10:00,"287,5","292,25","283,25","292,25",24404734
16.09.2024 18:10:00,"291,75",292,"285,75","286,25",17210152
17.09.2024 18:10:00,"287,25","293,75","287,25","290,5",25446750
18.09.2024 18:10:00,"290,25","293,5","289,75","291,5",19884166
19.09.2024 18:10:00,"294,75","301,25",293,301,30539856
20.09.2024 18:10:00,"300,75","301,5",298,"299,5",20237710
23.09.2024 18:10:00,301,"302,75","295,25",296,23543000
24.09.2024 18:10:00,296,300,"294,75","296,25",39566662
25.09.2024 18:10:00,"296,75","297,5","291,25","291,25",25711329
26.09.2024 18:10:00,"293,25",297,"290,5","291,25",28959484
27.09.2024 18:10:00,"292,25","294,5","290,25","292,25",19847298
30.09.2024 18:10:00,"291,75","291,75","284,75",285,21334664
01.10.2024 18:10:00,"285,25",287,"274,25","277,75",34658869
02.10.2024 18:10:00,277,"281,75","271,25","271,5",37339145
03.10.2024 18:10:00,272,"277,5","268,75","268,75",27014849
04.10.2024 18:10:00,271,"274,75",270,"273,75",25552239
07.10.2024 18:10:00,"274,75","275,5","269,5","270,5",19065238
08.10.2024 18:10:00,270,"272,5","268,75","270,75",24186666
09.10.2024 18:10:00,"270,75","271,25",265,"270,25",23956358
10.10.2024 18:10:00,"271,25","272,5","266,5","266,5",16761536
11.10.2024 18:10:00,267,271,"263,75","264,75",17775777
14.10.2024 18:10:00,"264,75",265,"257,5","257,75",19868260
15.10.2024 18:10:00,"257,75","268,75","257,5",268,30713391
16.10.2024 18:10:00,267,270,264,"269,25",19268275
17.10.2024 18:10:00,"269,5",275,"269,25","273,5",24972591
18.10.2024 18:10:00,"273,75",275,"266,75",268,20698103
21.10.2024 18:10:00,268,272,"266,25","269,5",24074749
22.10.2024 18:10:00,"270,5","276,5","269,5","274,75",26819572
23.10.2024 18:10:00,"275,25","275,25","267,25","267,75",24305349
24.10.2024 18:10:00,270,"274,5",270,"273,75",18918442
25.10.2024 18:10:00,"272,75","276,75","271,75",276,17216815
28.10.2024 12:40:00,"278,5",280,"276,25",278,7035135
30.10.2024 18:10:00,"277,75",280,"276,5","277,5",14799003
31.10.2024 18:10:00,"277,75",279,"272,5","272,5",14473937
01.11.2024 18:10:00,273,"274,75","271,5",273,19991989
04.11.2024 18:10:00,272,273,267,"268,5",18418359
05.11.2024 18:10:00,"272,25","273,75","270,25","272,25",31196076
06.11.2024 18:10:00,273,281,270,"277,25",30758235
07.11.2024 18:10:00,"278,25",283,276,"282,75",24069867
08.11.2024 18:10:00,282,"290,5","281,5","290,25",23348584
11.11.2024 18:10:00,"290,75","291,25","286,5",288,21162079
12.11.2024 18:10:00,"289,5","290,75","286,25","286,5",20609050
13.11.2024 18:10:00,286,288,282,"283,75",31922085
14.11.2024 18:10:00,"285,5",289,284,"286,5",28667480
15.11.2024 18:10:00,"287,75","293,75",287,"289,75",40033524
18.11.2024 18:10:00,291,"292,5",287,"288,75",26338290
19.11.2024 18:10:00,"289,5","290,25",278,279,30459346
20.11.2024 18:10:00,"280,5","281,75","269,5",271,28212777
21.11.2024 18:10:00,272,"279,75",271,"279,75",23938681
22.11.2024 18:10:00,"279,5",281,"276,5","279,5",24811970
25.11.2024 18:10:00,"281,5","300,25",281,"296,25",61855170
26.11.2024 18:10:00,296,"296,5","291,25",294,31270250
27.11.2024 18:10:00,"299,25","299,75","292,25","292,5",35199151
28.11.2024 18:10:00,291,"291,25","284,25","287,25",26994739
29.11.2024 18:10:00,"287,25","287,75","283,5",285,29697434
02.12.2024 18:10:00,"284,5","286,75","282,5","285,5",33276590
03.12.2024 18:10:00,"286,25","290,5",284,287,28304567
04.12.2024 18:10:00,"288,5","291,75","287,75",289,27748059
05.12.2024 18:10:00,"290,5",295,290,"293,5",33995219
06.12.2024 18:10:00,296,"300,5","293,5","300,5",35655051
09.12.2024 18:10:00,"303,75",304,"299,25","300,5",23749386
10.12.2024 18:10:00,"300,5",305,"297,75","299,25",40376517
11.12.2024 18:10:00,"299,5",303,"297,25","301,25",30996824
12.12.2024 18:10:00,303,"304,25","296,75","298,5",21407493
13.12.2024 18:10:00,"297,75","299,5","294,25","299,25",22432206
16.12.2024 18:10:00,"300,25","300,75","295,5","295,5",21406432
17.12.2024 18:10:00,"295,5","300,5",293,"297,75",28508478
18.12.2024 18:10:00,297,"297,75","290,25","290,5",24216068
19.12.2024 18:10:00,"288,5",293,"287,75","289,5",25167342
